time,t1:pitch,t1:roll,t1:gyrx,t1:gyry,t1:gyrz,t2:pitch,t2:roll,t2:gyrx,t2:gyry,t2:gyrz,k1:pitch,k1:roll,k1:gyrx,k1:gyry,k1:gyrz,k2:pitch,k2:roll,k2:gyrx,k2:gyry,k2:gyrz,W:pitch,W:roll,W:gyrx,W:gyry,W:gyrz,B:pitch,B:roll,B:gyrx,B:gyry,B:gyrz
0.28400000000000003,13.5,13.5,0.0,-0.0,0.0,31.230550231223123,2.149285451264022,-0.015267175572519083,0.022900763358778626,0.0,-5.623703365321242,22.14972228591711,-0.030534351145038167,0.022900763358778626,-0.03816793893129771,13.5,13.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.72,37.49,-2.0,-1.0,-3.0,
0.319,24.975,24.975,0.0,-0.0,0.0,57.77651792776278,3.9761780848384403,-0.015267175572519083,0.022900763358778626,0.0,-10.403851225844296,40.97698622894666,-0.030534351145038167,0.022900763358778626,-0.03816793893129771,38.47506490092218,30.975000006856,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,37.95,46.33,0.0,-1.0,-2.0,
0.356,34.728750000000005,34.728750000000005,0.0,-0.0,0.0,80.34059046982148,5.529036823376696,-0.015267175572519083,0.022900763358778626,0.0,-14.466976907288892,56.98016058052177,-0.030534351145038167,0.022900763358778626,-0.03816793893129771,59.70387006670603,45.8287500126836,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,44.06,54.01,-3.0,0.0,-3.0,
0.393,43.0194375,43.0194375,0.0,-0.0,0.0,99.52005213057139,6.848966751134213,-0.015267175572519083,0.022900763358778626,0.0,-17.9206337365168,70.58285877936062,-0.030534351145038167,0.022900763358778626,-0.03816793893129771,77.74861399960704,58.45456728862943,0.015267175572519083,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,49.16,60.27,-4.0,0.0,4.0,
0.43,50.066521875,50.066521875,0.0,-0.0,0.0,115.8225945422088,7.970907189728104,-0.015267175572519083,0.022900763358778626,0.0,-21.148474383620165,82.17182757619565,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,93.08664634257289,69.18651197318337,0.015267175572519083,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,53.73,65.98,-3.0,1.0,-5.0,
0.46599999999999997,56.05654359375,56.05654359375,0.0,-0.0,0.0,129.6797555921006,8.92455656253291,-0.015267175572519083,0.022900763358778626,0.0,-23.89213893365803,92.02245105350543,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,106.15537820200697,78.36027963277508,0.015267175572519083,0.03816793893129771,0.0,103.0,131.0,-3.0,-7.0,0.0,57.34,70.38,-5.0,0.0,2.0,
0.503,61.1480620546875,61.1480620546875,0.0,-0.0,0.0,141.45834248450862,9.735158529416996,-0.015267175572519083,0.022900763358778626,0.0,-26.224253801190212,100.39548100921876,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,117.25333221165586,86.14077841439749,0.015267175572519083,0.03816793893129771,0.0,103.0,131.0,-2.0,-5.0,0.0,60.71,74.59,-2.0,0.0,2.0,
0.54,65.47585274648438,65.47585274648438,0.0,-0.0,0.0,151.45155918702181,10.421653736273123,-0.015267175572519083,0.007633587786259542,0.0,-28.206551438592566,107.51255647157507,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,126.6865931198574,92.75420237877654,0.015267175572519083,0.03816793893129771,0.0,103.0,131.0,-2.0,-5.0,0.0,63.4,77.69,-4.0,-1.0,-4.0,
0.5780000000000001,69.15447483451172,69.15447483451172,0.0,-0.0,0.0,159.94579338415804,11.005174662100831,-0.015267175572519083,0.007633587786259542,0.0,-29.89150443038457,113.56207061457793,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,134.71533296269882,98.39281647752928,0.015267175572519083,0.03816793893129771,0.0,103.0,131.0,-3.0,-6.0,0.0,65.9,80.77,-1.0,0.0,0.0,
0.615,72.28130360933496,72.28130360933496,0.0,-0.0,0.0,167.1658924517238,11.501167449054384,-0.015267175572519083,0.007633587786259542,0.0,-31.32371447340777,118.70415763613038,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542,141.539761829114,103.1856384614691,0.015267175572519083,0.03816793893129771,0.0,103.0,131.0,-3.0,-7.0,2.0,67.87,83.09,-4.0,0.0,-3.0,
